timestamp,localized,red,ir
1686782913042,2023-06-14T15:48:33.042(UTC-07:00),26462,44429
1686782913041,2023-06-14T15:48:33.041(UTC-07:00),26465,44426
1686782913040,2023-06-14T15:48:33.040(UTC-07:00),26458,44411
1686782913039,2023-06-14T15:48:33.039(UTC-07:00),26457,44406
1686782913037,2023-06-14T15:48:33.037(UTC-07:00),26457,44407
1686782913036,2023-06-14T15:48:33.036(UTC-07:00),26456,44403
1686782913035,2023-06-14T15:48:33.035(UTC-07:00),26459,44415
1686782913034,2023-06-14T15:48:33.034(UTC-07:00),26460,44411
1686782913032,2023-06-14T15:48:33.032(UTC-07:00),26465,44431
1686782913031,2023-06-14T15:48:33.031(UTC-07:00),26462,44428
1686782913030,2023-06-14T15:48:33.030(UTC-07:00),26469,44442
1686782913029,2023-06-14T15:48:33.029(UTC-07:00),26468,44434
1686782913027,2023-06-14T15:48:33.027(UTC-07:00),26472,44449
1686782913026,2023-06-14T15:48:33.026(UTC-07:00),26471,44443
1686782913025,2023-06-14T15:48:33.025(UTC-07:00),26474,44451
1686782913024,2023-06-14T15:48:33.024(UTC-07:00),26474,44447
1686782913022,2023-06-14T15:48:33.022(UTC-07:00),26477,44461
1686782913021,2023-06-14T15:48:33.021(UTC-07:00),26477,44455
1686782913020,2023-06-14T15:48:33.020(UTC-07:00),26481,44469
1686782913019,2023-06-14T15:48:33.019(UTC-07:00),26480,44465
1686782913017,2023-06-14T15:48:33.017(UTC-07:00),26484,44479
1686782913016,2023-06-14T15:48:33.016(UTC-07:00),26483,44474
1686782913015,2023-06-14T15:48:33.015(UTC-07:00),26490,44492
1686782913014,2023-06-14T15:48:33.014(UTC-07:00),26486,44488
1686782913012,2023-06-14T15:48:33.012(UTC-07:00),26492,44507
1686782913011,2023-06-14T15:48:33.011(UTC-07:00),26492,44503
1686782913010,2023-06-14T15:48:33.010(UTC-07:00),26495,44517
1686782913009,2023-06-14T15:48:33.009(UTC-07:00),26493,44512
1686782913007,2023-06-14T15:48:33.007(UTC-07:00),26492,44497
1686782913006,2023-06-14T15:48:33.006(UTC-07:00),26492,44494
1686782913005,2023-06-14T15:48:33.005(UTC-07:00),26486,44451
1686782913004,2023-06-14T15:48:33.004(UTC-07:00),26482,44448
1686782913024,2023-06-14T15:48:33.024(UTC-07:00),26472,44411
1686782913044,2023-06-14T15:48:33.044(UTC-07:00),26477,44410
1686782913064,2023-06-14T15:48:33.064(UTC-07:00),26468,44404
1686782913084,2023-06-14T15:48:33.084(UTC-07:00),26471,44401
1686782913104,2023-06-14T15:48:33.104(UTC-07:00),26475,44412
1686782913124,2023-06-14T15:48:33.124(UTC-07:00),26474,44406
1686782913145,2023-06-14T15:48:33.145(UTC-07:00),26478,44427
1686782913165,2023-06-14T15:48:33.165(UTC-07:00),26480,44424
1686782913185,2023-06-14T15:48:33.185(UTC-07:00),26484,44443
1686782913205,2023-06-14T15:48:33.205(UTC-07:00),26481,44438
1686782913225,2023-06-14T15:48:33.225(UTC-07:00),26487,44449
1686782913245,2023-06-14T15:48:33.245(UTC-07:00),26485,44445
1686782913266,2023-06-14T15:48:33.266(UTC-07:00),26487,44455
1686782913286,2023-06-14T15:48:33.286(UTC-07:00),26486,44451
1686782913306,2023-06-14T15:48:33.306(UTC-07:00),26492,44461
1686782913326,2023-06-14T15:48:33.326(UTC-07:00),26492,44454
