timestamp,localized,ax,ay,az,gx,gy,gz
1686782913418,2023-06-14T15:48:33.418(UTC-07:00),-2668,5667,-7002,124,-162,52
1686782913428,2023-06-14T15:48:33.428(UTC-07:00),-2699,5651,-7052,128,-170,31
1686782913439,2023-06-14T15:48:33.439(UTC-07:00),-2668,5672,-7062,100,-180,33
1686782913449,2023-06-14T15:48:33.449(UTC-07:00),-2732,5641,-7133,71,-185,40
1686782913460,2023-06-14T15:48:33.460(UTC-07:00),-2709,5648,-7051,54,-191,41
1686782913470,2023-06-14T15:48:33.470(UTC-07:00),-2702,5645,-7004,47,-191,46
1686782913481,2023-06-14T15:48:33.481(UTC-07:00),-2684,5632,-7126,60,-195,44
1686782913491,2023-06-14T15:48:33.491(UTC-07:00),-2697,5614,-7007,61,-203,45
1686782913502,2023-06-14T15:48:33.502(UTC-07:00),-2667,5623,-7052,64,-216,42
1686782913512,2023-06-14T15:48:33.512(UTC-07:00),-2669,5628,-7075,70,-220,30
1686782913523,2023-06-14T15:48:33.523(UTC-07:00),-2676,5642,-6993,79,-215,30
1686782913533,2023-06-14T15:48:33.533(UTC-07:00),-2713,5579,-7008,98,-207,28
1686782913544,2023-06-14T15:48:33.544(UTC-07:00),-2681,5583,-7036,110,-203,26
1686782913553,2023-06-14T15:48:33.553(UTC-07:00),-2694,5621,-7088,104,-200,20
1686782913563,2023-06-14T15:48:33.563(UTC-07:00),-2716,5624,-6993,106,-204,13
1686782913573,2023-06-14T15:48:33.573(UTC-07:00),-2723,5570,-7020,120,-196,7
1686782913583,2023-06-14T15:48:33.583(UTC-07:00),-2763,5684,-7014,128,-197,9
1686782913592,2023-06-14T15:48:33.592(UTC-07:00),-2731,5679,-7032,134,-210,9
1686782913602,2023-06-14T15:48:33.602(UTC-07:00),-2672,5693,-7102,130,-222,8
1686782913612,2023-06-14T15:48:33.612(UTC-07:00),-2691,5643,-7100,125,-236,12
1686782913622,2023-06-14T15:48:33.622(UTC-07:00),-2659,5652,-7151,95,-264,2
1686782913631,2023-06-14T15:48:33.631(UTC-07:00),-2698,5624,-7116,37,-289,-12
1686782913641,2023-06-14T15:48:33.641(UTC-07:00),-2709,5712,-7116,-23,-302,-37
1686782913651,2023-06-14T15:48:33.651(UTC-07:00),-2714,5701,-7056,-62,-316,-57
1686782913661,2023-06-14T15:48:33.661(UTC-07:00),-2773,5661,-6917,-59,-312,-90
1686782913670,2023-06-14T15:48:33.670(UTC-07:00),-2757,5585,-6982,-4,-285,-92
1686782913680,2023-06-14T15:48:33.680(UTC-07:00),-2713,5615,-7034,37,-273,-91
1686782913690,2023-06-14T15:48:33.690(UTC-07:00),-2750,5609,-6976,23,-274,-84
1686782913700,2023-06-14T15:48:33.700(UTC-07:00),-2764,5582,-6920,71,-238,-65
1686782913709,2023-06-14T15:48:33.709(UTC-07:00),-2706,5569,-6885,90,-215,-35
1686782913719,2023-06-14T15:48:33.719(UTC-07:00),-2722,5558,-6928,117,-201,-17
1686782913729,2023-06-14T15:48:33.729(UTC-07:00),-2678,5604,-6992,160,-183,4
1686782913739,2023-06-14T15:48:33.739(UTC-07:00),-2700,5615,-7061,179,-167,18
1686782913748,2023-06-14T15:48:33.748(UTC-07:00),-2700,5597,-7070,184,-165,25
1686782913758,2023-06-14T15:48:33.758(UTC-07:00),-2721,5624,-7094,163,-170,27
1686782913768,2023-06-14T15:48:33.768(UTC-07:00),-2722,5610,-7061,127,-181,15
1686782913778,2023-06-14T15:48:33.778(UTC-07:00),-2735,5669,-7037,106,-193,7
1686782913787,2023-06-14T15:48:33.787(UTC-07:00),-2755,5625,-7058,97,-195,0
1686782913797,2023-06-14T15:48:33.797(UTC-07:00),-2729,5654,-7065,111,-197,-4
1686782913807,2023-06-14T15:48:33.807(UTC-07:00),-2757,5635,-7016,133,-196,-6
1686782913817,2023-06-14T15:48:33.817(UTC-07:00),-2750,5637,-7017,137,-189,-7
1686782913826,2023-06-14T15:48:33.826(UTC-07:00),-2761,5610,-6990,153,-189,-13
1686782913836,2023-06-14T15:48:33.836(UTC-07:00),-2748,5588,-7025,155,-195,-19
1686782913846,2023-06-14T15:48:33.846(UTC-07:00),-2769,5552,-7004,164,-187,-15
1686782913856,2023-06-14T15:48:33.856(UTC-07:00),-2724,5514,-7022,141,-198,-15
1686782913865,2023-06-14T15:48:33.865(UTC-07:00),-2706,5621,-6980,110,-203,-10
1686782913875,2023-06-14T15:48:33.875(UTC-07:00),-2677,5602,-7053,79,-210,-6
1686782913885,2023-06-14T15:48:33.885(UTC-07:00),-2745,5563,-6999,55,-207,-4
1686782913895,2023-06-14T15:48:33.895(UTC-07:00),-2747,5558,-6961,33,-217,4
1686782913904,2023-06-14T15:48:33.904(UTC-07:00),-2736,5576,-6983,29,-215,10
1686782913914,2023-06-14T15:48:33.914(UTC-07:00),-2761,5640,-7023,43,-208,19
1686782913924,2023-06-14T15:48:33.924(UTC-07:00),-2731,5621,-6957,59,-203,21
1686782913934,2023-06-14T15:48:33.934(UTC-07:00),-2697,5579,-6977,79,-188,25
1686782913944,2023-06-14T15:48:33.944(UTC-07:00),-2725,5577,-7013,105,-186,29
1686782913955,2023-06-14T15:48:33.955(UTC-07:00),-2731,5604,-6971,109,-183,34
1686782913965,2023-06-14T15:48:33.965(UTC-07:00),-2692,5562,-7034,123,-175,38
1686782913976,2023-06-14T15:48:33.976(UTC-07:00),-2709,5555,-7025,120,-181,48
1686782913986,2023-06-14T15:48:33.986(UTC-07:00),-2730,5597,-7007,99,-181,44
1686782913997,2023-06-14T15:48:33.997(UTC-07:00),-2707,5586,-6956,75,-189,40
1686782914007,2023-06-14T15:48:34.007(UTC-07:00),-2685,5598,-6997,76,-191,38
1686782914018,2023-06-14T15:48:34.018(UTC-07:00),-2710,5615,-6941,86,-190,27
1686782914028,2023-06-14T15:48:34.028(UTC-07:00),-2693,5647,-7045,98,-184,20
